frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,right_ankle_angle,left_ankle_angle,back_angle,neck_angle,symmetry_diff,stance_width,phase,exc_type,form,accuracy,correction_needed
1,172.0160725988082,164.79548994115365,96.11304453580571,87.16964355295559,127.37945166187268,129.89200755544798,172.97158135220576,171.43535516337272,109.7014300019795,113.29455098492218,94.56530263730468,46.16147190334221,4.761177341171137,0.043119053820354414,start,pushup,good,98,None
2,172.53088323125442,170.23529460770862,94.97130289439788,86.66191959007988,128.9977709820614,133.73360805356782,172.5570943524433,171.94839513023385,109.35781728943961,113.239952011814,92.68121953863535,44.136113515004865,3.96632858879081,0.04378575697159967,start,pushup,good,97,None
3,173.28573251897916,171.62418800032083,92.14183626312018,82.70337411370255,134.43399984296607,141.80352224321976,173.8765129267848,174.30318468105312,109.29221204368007,113.44251607894714,88.41893829562915,46.70336290663061,4.609300971573006,0.04214004193208018,start,pushup,good,99,None
4,173.50565108220786,170.98772373193722,91.2531764927267,81.76243095632947,136.67144242224907,143.89417120840957,174.1970227625655,174.53836406700825,108.78225533558025,112.84709757969476,87.26708199845739,49.99877938230982,4.727517044277127,0.04193808435171054,start,pushup,good,97,None
5,170.66942768803756,163.21245520962137,85.78474073947596,72.86507799204934,152.58543519753096,157.71035923355686,177.56896259286844,179.7855507495337,105.04490272019345,109.5497037323563,83.09430060962484,43.32725260814679,6.444589686139369,0.04949672677324127,mid,pushup,good,100,None
6,162.71835800319298,153.77196159702956,86.05531629791751,75.10398214221681,157.96639368006151,162.8865925091395,177.58403009661401,175.50337880781768,93.41929177330589,101.19310687800291,92.1619257375196,37.243737298736505,6.9344791568870905,0.05334740581176445,mid,pushup,good,91,None
7,143.05689966373674,34.74931460249927,67.65724081804264,45.85043318238201,168.7183216610956,173.31018431979408,178.24773404619194,175.5990471375676,82.73555660769284,93.2226580507588,91.51044473250488,33.90518874922016,29.568408741457382,0.0631025214181895,mid,pushup,good,99,None
8,137.60704894188356,46.955900536291345,59.37364299756026,46.63592075118527,173.84870255890513,173.76648600012345,178.94087084660262,179.98707241103918,84.74333757073423,94.82681191928388,88.7577724887675,30.958344010186586,22.920152624747022,0.06316331483798898,mid,pushup,good,96,None
9,151.2482496160938,151.91465359802532,75.06002224481543,63.65872293718728,160.43216335981012,166.62180940032087,173.69735729016642,175.91711826544295,92.2509705055563,98.92664430577572,88.2632736413027,38.674110726761334,5.430556821113276,0.055688187637512265,end,pushup,good,99,None
10,160.37693902923013,159.70612724781856,65.28556042580377,58.00227405467933,179.39735298736198,177.8240531098552,178.7947300162282,175.62648400392044,98.72515201351732,101.54583101109006,71.99901705222071,46.05491988974022,3.103264607984653,0.04554164051663268,end,pushup,good,96,None
