exercise,phase,elbow,shoulder,hip,knee,ankle,form,correction_needed,feedback_tag,accuracy,front_knee,front_hip,back_knee,back_hip
Push-up,mid,58.5,5.0,180.0,180.0,90.0,good,False,,87.7,,,,
Push-up,mid,41.6,0.2,180.0,180.0,90.0,good,False,,94.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,95.8,,,,
Push-up,end,180.0,,,,,good,False,,91.0,,,,
Push-up,end,180.0,,,,,good,False,,97.5,,,,
Push-up,mid,42.6,5.1,180.0,180.0,90.0,good,False,,88.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.1,,,,
Push-up,end,180.0,,,,,good,False,,87.7,,,,
Push-up,end,180.0,,,,,good,False,,97.5,,,,
Push-up,end,180.0,,,,,good,False,,97.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,86.4,,,,
Push-up,end,180.0,,,,,good,False,,98.1,,,,
Push-up,mid,54.7,4.7,180.0,180.0,90.0,good,False,,89.9,,,,
Push-up,mid,52.6,2.2,180.0,180.0,90.0,good,False,,97.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,93.2,,,,
Push-up,mid,44.2,4.0,180.0,180.0,90.0,good,False,,94.1,,,,
Push-up,mid,52.3,3.9,180.0,180.0,90.0,good,False,,80.2,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,89.5,,,,
Push-up,end,180.0,,,,,good,False,,97.0,,,,
Push-up,end,180.0,,,,,good,False,,91.8,,,,
Push-up,mid,57.7,8.4,180.0,180.0,90.0,good,False,,83.7,,,,
Push-up,mid,42.6,9.6,180.0,180.0,90.0,good,False,,81.9,,,,
Push-up,mid,47.2,2.0,180.0,180.0,90.0,good,False,,92.8,,,,
Push-up,end,180.0,,,,,good,False,,94.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,86.7,,,,
Push-up,mid,58.1,7.3,180.0,180.0,90.0,good,False,,89.4,,,,
Push-up,end,180.0,,,,,good,False,,99.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,93.2,,,,
Push-up,mid,55.2,1.0,180.0,180.0,90.0,good,False,,85.5,,,,
Push-up,mid,41.1,1.7,180.0,180.0,90.0,good,False,,93.7,,,,
Push-up,mid,54.2,8.0,180.0,180.0,90.0,good,False,,90.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,87.1,,,,
Push-up,mid,48.2,5.2,180.0,180.0,90.0,good,False,,93.0,,,,
Push-up,end,180.0,,,,,good,False,,90.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,82.0,,,,
Push-up,mid,44.7,9.3,180.0,180.0,90.0,good,False,,82.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.2,,,,
Push-up,mid,53.5,0.6,180.0,180.0,90.0,good,False,,99.1,,,,
Push-up,end,180.0,,,,,good,False,,97.8,,,,
Push-up,end,180.0,,,,,good,False,,93.7,,,,
Push-up,end,180.0,,,,,good,False,,95.2,,,,
Push-up,end,180.0,,,,,good,False,,80.8,,,,
Push-up,mid,54.0,1.9,180.0,180.0,90.0,good,False,,97.4,,,,
Push-up,end,180.0,,,,,good,False,,91.4,,,,
Push-up,end,180.0,,,,,good,False,,82.9,,,,
Push-up,mid,56.0,9.9,180.0,180.0,90.0,good,False,,86.2,,,,
Push-up,end,180.0,,,,,good,False,,87.4,,,,
Push-up,mid,46.7,4.4,180.0,180.0,90.0,good,False,,89.6,,,,
Push-up,mid,54.1,6.9,180.0,180.0,90.0,good,False,,85.6,,,,
Push-up,end,180.0,,,,,good,False,,88.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,93.1,,,,
Push-up,mid,40.5,7.0,180.0,180.0,90.0,good,False,,86.5,,,,
Push-up,end,180.0,,,,,good,False,,83.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,94.6,,,,
Push-up,end,180.0,,,,,good,False,,96.1,,,,
Push-up,end,180.0,,,,,good,False,,90.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,94.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.1,,,,
Push-up,mid,55.8,3.1,180.0,180.0,90.0,good,False,,86.5,,,,
Push-up,end,180.0,,,,,good,False,,88.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,85.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.5,,,,
Push-up,end,180.0,,,,,good,False,,87.1,,,,
Push-up,end,180.0,,,,,good,False,,83.1,,,,
Push-up,mid,58.7,6.0,180.0,180.0,90.0,good,False,,94.9,,,,
Push-up,mid,59.1,4.7,180.0,180.0,90.0,good,False,,92.7,,,,
Push-up,end,180.0,,,,,good,False,,99.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,82.7,,,,
Push-up,end,180.0,,,,,good,False,,87.9,,,,
Push-up,mid,44.4,4.1,180.0,180.0,90.0,good,False,,97.1,,,,
Push-up,end,180.0,,,,,good,False,,87.8,,,,
Push-up,mid,54.2,1.0,180.0,180.0,90.0,good,False,,94.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,91.8,,,,
Push-up,end,180.0,,,,,good,False,,93.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.1,,,,
Push-up,mid,49.0,7.4,180.0,180.0,90.0,good,False,,92.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,88.5,,,,
Push-up,mid,52.7,0.7,180.0,180.0,90.0,good,False,,98.2,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,89.2,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,88.9,,,,
Push-up,mid,42.7,9.9,180.0,180.0,90.0,good,False,,82.7,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,90.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,95.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,84.5,,,,
Push-up,mid,59.9,2.9,180.0,180.0,90.0,good,False,,98.3,,,,
Push-up,end,180.0,,,,,good,False,,80.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,97.4,,,,
Push-up,end,180.0,,,,,good,False,,98.4,,,,
Push-up,mid,42.1,8.7,180.0,180.0,90.0,good,False,,88.3,,,,
Push-up,mid,59.7,0.7,180.0,180.0,90.0,good,False,,81.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,91.7,,,,
Push-up,mid,56.8,5.1,180.0,180.0,90.0,good,False,,95.8,,,,
Push-up,end,180.0,,,,,good,False,,99.9,,,,
Push-up,mid,40.2,9.2,180.0,180.0,90.0,good,False,,94.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.2,,,,
Push-up,end,180.0,,,,,good,False,,87.6,,,,
Push-up,end,180.0,,,,,good,False,,92.2,,,,
Push-up,end,180.0,,,,,good,False,,97.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.3,,,,
Push-up,mid,54.1,9.0,180.0,180.0,90.0,good,False,,97.1,,,,
Push-up,mid,52.6,4.1,180.0,180.0,90.0,good,False,,99.4,,,,
Push-up,mid,55.0,2.0,180.0,180.0,90.0,good,False,,82.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,88.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,85.6,,,,
Push-up,end,180.0,,,,,good,False,,85.9,,,,
Push-up,end,180.0,,,,,good,False,,95.2,,,,
Push-up,end,180.0,,,,,good,False,,88.2,,,,
Push-up,mid,57.0,9.7,180.0,180.0,90.0,good,False,,90.5,,,,
Push-up,end,180.0,,,,,good,False,,93.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.7,,,,
Push-up,mid,51.9,6.2,180.0,180.0,90.0,good,False,,85.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,82.4,,,,
Push-up,end,180.0,,,,,good,False,,94.1,,,,
Push-up,end,180.0,,,,,good,False,,98.4,,,,
Push-up,end,180.0,,,,,good,False,,95.9,,,,
Push-up,mid,48.1,7.2,180.0,180.0,90.0,good,False,,86.5,,,,
Push-up,mid,40.6,5.2,180.0,180.0,90.0,good,False,,93.9,,,,
Push-up,mid,41.2,0.5,180.0,180.0,90.0,good,False,,85.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,91.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,95.6,,,,
Push-up,end,180.0,,,,,good,False,,85.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,97.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.1,,,,
Push-up,end,180.0,,,,,good,False,,86.6,,,,
Push-up,end,180.0,,,,,good,False,,96.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,86.5,,,,
Push-up,end,180.0,,,,,good,False,,83.4,,,,
Push-up,end,180.0,,,,,good,False,,90.6,,,,
Push-up,end,180.0,,,,,good,False,,88.8,,,,
Push-up,mid,50.5,7.9,180.0,180.0,90.0,good,False,,96.7,,,,
Push-up,mid,44.8,2.3,180.0,180.0,90.0,good,False,,98.3,,,,
Push-up,end,180.0,,,,,good,False,,86.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,91.3,,,,
Push-up,end,180.0,,,,,good,False,,97.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,91.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,84.9,,,,
Push-up,mid,46.3,8.8,180.0,180.0,90.0,good,False,,92.5,,,,
Push-up,mid,47.0,1.0,180.0,180.0,90.0,good,False,,99.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,84.8,,,,
Push-up,end,180.0,,,,,good,False,,87.2,,,,
Push-up,mid,42.7,7.6,180.0,180.0,90.0,good,False,,87.7,,,,
Push-up,mid,43.2,6.1,180.0,180.0,90.0,good,False,,85.9,,,,
Push-up,mid,41.0,2.1,180.0,180.0,90.0,good,False,,93.7,,,,
Push-up,mid,40.4,6.1,180.0,180.0,90.0,good,False,,82.2,,,,
Push-up,end,180.0,,,,,good,False,,89.0,,,,
Push-up,end,180.0,,,,,good,False,,82.2,,,,
Push-up,mid,54.5,4.7,180.0,180.0,90.0,good,False,,85.4,,,,
Push-up,mid,54.0,1.2,180.0,180.0,90.0,good,False,,96.2,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.5,,,,
Push-up,end,180.0,,,,,good,False,,82.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,82.8,,,,
Push-up,mid,42.3,1.0,180.0,180.0,90.0,good,False,,98.9,,,,
Push-up,mid,58.4,9.8,180.0,180.0,90.0,good,False,,94.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,92.1,,,,
Push-up,mid,55.0,4.6,180.0,180.0,90.0,good,False,,81.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,99.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,90.8,,,,
Push-up,mid,50.2,1.6,180.0,180.0,90.0,good,False,,94.7,,,,
Push-up,end,180.0,,,,,good,False,,83.3,,,,
Push-up,end,180.0,,,,,good,False,,87.0,,,,
Push-up,end,180.0,,,,,good,False,,80.9,,,,
Push-up,end,180.0,,,,,good,False,,92.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,97.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,90.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,85.7,,,,
Push-up,end,180.0,,,,,good,False,,95.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,81.9,,,,
Push-up,end,180.0,,,,,good,False,,97.1,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,81.3,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,88.7,,,,
Push-up,end,180.0,,,,,good,False,,84.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,86.5,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,92.2,,,,
Push-up,end,180.0,,,,,good,False,,92.5,,,,
Push-up,end,180.0,,,,,good,False,,93.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,90.1,,,,
Push-up,end,180.0,,,,,good,False,,95.4,,,,
Push-up,end,180.0,,,,,good,False,,85.9,,,,
Push-up,mid,53.9,3.6,180.0,180.0,90.0,good,False,,97.1,,,,
Push-up,mid,43.4,7.2,180.0,180.0,90.0,good,False,,80.4,,,,
Push-up,end,180.0,,,,,good,False,,95.8,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.8,,,,
Push-up,mid,43.6,4.7,180.0,180.0,90.0,good,False,,96.8,,,,
Push-up,end,180.0,,,,,good,False,,98.6,,,,
Push-up,mid,49.0,9.6,180.0,180.0,90.0,good,False,,97.8,,,,
Push-up,end,180.0,,,,,good,False,,85.0,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.0,,,,
Push-up,end,180.0,,,,,good,False,,93.7,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,83.2,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,80.9,,,,
Push-up,mid,52.8,9.9,180.0,180.0,90.0,good,False,,99.4,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,98.0,,,,
Push-up,end,180.0,,,,,good,False,,85.1,,,,
Push-up,end,180.0,,,,,good,False,,85.6,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,96.9,,,,
Push-up,start,,180.0,180.0,180.0,90.0,good,False,,97.3,,,,
