frame,right_elbow_angle,left_elbow_angle,right_shoulder_angle,left_shoulder_angle,hip_angle,knee_angle,phase,label,form
1,172.0160725988082,164.79548994115365,96.11304453580571,87.16964355295559,127.37945166187268,172.97158135220576,start,pushups,good
2,172.9972106213816,170.38161646696926,96.37967010882195,88.28788718238809,127.69333822260444,173.1165703629893,start,pushups,good
3,173.33100987842428,171.2327658339934,95.8971362440118,87.8656591173294,128.63649041827532,173.54348027656928,start,pushups,good
4,173.3575523321544,171.6297464460899,95.36362248645938,87.28745914800787,129.6713608528846,174.1901520636131,start,pushups,good
5,173.4000342542009,171.26691177023991,94.82028026584833,86.42959020766742,130.80256858818564,174.56935105462054,start,pushups,good
6,173.34161808045894,170.84864511101958,94.1756338125692,85.46627174844603,131.45876059582332,174.24693302234553,start,pushups,good
7,173.27270801633605,170.7346862990645,93.73436863457232,84.93606467029788,131.7726705997072,173.5632913945072,start,pushups,good
8,173.2473980775773,170.65010719579735,92.8504283940856,84.2036059428131,133.2554334480101,174.02715645191276,start,pushups,good
9,173.425871950766,170.903184218593,91.7974876816256,82.70401792142297,135.45395489078317,175.0503361079066,start,pushups,good
10,173.50136237480302,171.00108357973193,90.77134595230484,81.63828682700517,137.41859910786002,175.81429760782737,start,pushups,good
11,173.6756623993837,170.98834296376612,89.65750972586812,80.73324402860626,139.58313951577944,176.91696015753885,start,pushups,good
12,173.8593770282488,170.43108565827285,88.842297348902,80.26392593459808,141.27213654168204,177.48548999701404,start,pushups,good
13,173.9146257908698,170.49240823396644,89.24890665971927,80.48992784452437,141.4971946693691,177.03156466705,start,pushups,good
14,174.05439506978408,170.82333600767052,89.43944669627254,80.66748020566615,141.68886280230032,175.92618174311258,start,pushups,good
15,174.01654805258644,171.0498614621564,89.34886233696,80.50319564678442,142.2514599344469,176.25919657116788,start,pushups,good
16,173.95886718381803,171.14521483599802,89.30986913103287,80.38583172350607,142.70858486232092,176.91847077663817,start,pushups,good
17,173.95391680517588,170.85737671459103,89.48147792116164,80.03176538432439,142.608154100221,176.86071491834537,start,pushups,good
18,173.96074933718575,170.6617312980869,89.57056735298795,79.64708047263417,142.60373682240288,176.90248191655616,start,pushups,good
19,173.85197444391852,170.74783776099605,89.45977938026839,79.55519182322423,143.14968875258984,177.44952485599472,start,pushups,good
20,173.66653320286554,169.1790830990406,89.75223567177123,78.90160452978093,143.35678524942497,178.13088165331175,start,pushups,good
21,172.7042850395304,166.8487320740046,87.19680495248953,76.39427291724722,147.28498919724527,177.98972796713426,start,pushups,good
22,170.9977979266512,166.64708883511102,86.1020129655848,77.0053926079019,149.14900274249547,177.97368532988932,start,pushups,good
23,168.96715672919115,167.9238357422318,85.15028015493263,77.36393828276164,151.06869261071816,179.17643046561787,start,pushups,good
24,166.37306914070473,169.6122687735851,84.87843606618551,77.61521132220028,152.59850341260278,179.66957692968475,start,pushups,good
25,163.70525750533335,170.07350514448294,87.30455987364053,76.23327956036294,154.1229778767856,176.91689616109002,start,pushups,good
26,160.9554295277102,168.7691238757477,86.55427977743136,69.20149375794465,154.88284465542876,179.13050326531018,start,pushups,good
27,158.04913498772763,149.4983437034842,87.34712386282851,54.58619577308048,154.82545380186204,179.232670471778,down,pushups,good
28,156.21374590766848,146.18753016349223,86.53673286092022,62.51833818119309,155.84533316032352,179.428827777907,down,pushups,good
29,151.72674567913256,93.14084086875556,84.68015884132409,24.05338108365373,158.98884946217063,179.67479318302546,down,pushups,good
30,149.44571785871685,51.01366332998476,82.63616396869342,27.006082028864085,161.8500624881357,178.00373223056354,down,pushups,good
31,145.4242434512765,51.00259392944688,77.91405414216085,38.1506076915078,163.97261517462326,178.3598125524159,down,pushups,good
32,142.8440497702168,45.986027552295006,70.79474786791735,41.51451468737499,168.22222375659138,178.65190309095652,down,pushups,good
33,136.04566028599575,43.79415325114502,61.996654430302016,47.4220422789555,170.65200693607605,178.75438481720016,down,pushups,good
34,130.73122708136222,37.36787881510888,56.286266405919584,50.86056483470531,170.09738952575478,178.1461932837053,down,pushups,good
35,127.15580163733851,36.88490220643944,50.4783405778823,50.79893746157811,171.49432788076797,178.72320684758168,down,pushups,good
36,126.4799599824017,36.7050606087808,49.22161517178678,50.34871254338171,173.62361354311662,178.8704426265839,down,pushups,good
37,130.39308068373657,38.7427843087348,53.70779060762222,50.02807189679755,173.49520438540222,178.10145106125864,up,pushups,good
38,132.671972923398,39.16266666954368,56.204422109899376,49.00200770097281,174.19293038165614,177.29527165263008,up,pushups,good
39,137.11776288484526,40.07266792019904,59.39022569248784,47.70163848989617,173.19566333751706,178.04690862956642,up,pushups,good
40,136.5570841106918,40.111698299677805,58.84522785558073,46.31395216120844,172.2416761688951,178.8154424984025,down,pushups,good
41,142.63619532780618,53.49528336572895,62.54417801701,40.05364361800856,172.4788737082494,179.1607276405851,up,pushups,good
42,147.19050113831742,101.35902375264544,67.34050348230448,15.836643442105863,168.78495777960538,175.91491131498603,up,pushups,good
43,150.34949930566594,144.21394619644994,69.45462022017021,63.45011863127868,166.69637902081854,173.51154239543217,up,pushups,good
44,151.91010696856807,140.76961597724153,70.40723660447625,57.71106608426103,165.54405112616152,172.65393026764252,up,pushups,good
45,156.1704384345318,153.27862492639937,70.78549365531273,65.04843265783433,166.57196816065573,172.8531723703005,up,pushups,good
46,157.76954150148345,157.4383129734064,71.55921877187076,66.18226868446466,165.39720695848848,172.52801041448322,up,pushups,good
47,158.98648777869928,157.1363571647973,72.11794408521547,63.84668104119993,164.36811698480932,173.26553408387713,up,pushups,good
48,161.32293713069367,160.0198177143141,72.8151716180654,63.20995686228162,164.87815605236196,175.66947102679592,start,pushups,good
49,164.2351612418724,164.00000306603525,72.88259087402588,63.76427565116309,165.93119954874305,177.47760053071215,start,pushups,good
50,166.40759356591687,165.0349974434189,73.9447477371502,62.78681418644871,165.61127129025516,178.4640086837152,start,pushups,good
51,167.9206432562818,167.26317690873304,73.01280237082962,62.50497034014271,166.4778705519067,178.77737109407343,start,pushups,good
52,169.32672623977402,160.17524017072984,72.83634649414851,60.63697442076862,166.5077780344411,179.03056270679042,start,pushups,good
53,170.6213758235784,153.62914403741252,73.14808855920195,54.21169302448635,166.4358900342499,179.55254826200758,start,pushups,good
54,172.58509482885057,153.03575260868652,73.94553198757113,52.29793380154292,166.0765668862337,178.85628673140718,start,pushups,good
55,173.73930438702567,156.291160772893,73.44016041817532,55.00046871543583,166.24022004109744,177.1019226672058,start,pushups,good
56,173.44411534594943,155.7801667071014,73.79710059293005,54.48995813571964,165.6599709414434,176.7098087026455,start,pushups,good
57,173.19872047066332,153.9232257644643,74.07977928517194,53.004043744294016,165.24513233850163,176.69476732973817,start,pushups,good
58,173.1348679977803,152.0286297024753,73.96916194822512,51.190751318600725,165.64709817466945,177.29742518523182,start,pushups,good
59,173.0782996223348,150.7377091520692,73.77542981464472,49.80381998398124,166.18267804011435,177.99374218026648,start,pushups,good
60,173.05833054068103,149.75519795013733,73.59972638532098,49.1722843902527,166.5873666409578,178.29048747434064,start,pushups,good
61,173.02535968427125,148.8140287344007,73.65488205647087,48.476642656365634,166.5945608059535,178.38099949389144,start,pushups,good
1,171.1581927096207,170.61188246734454,63.0613095735628,54.67339846228677,162.5818432557502,178.53075785611978,start,pushups,good
2,173.73925018142836,178.99057502730608,63.39662381013621,60.14074931599784,165.79531820364616,176.96646756713267,start,pushups,good
3,172.61369703643962,177.62952854431796,62.21764203948472,60.35960600672557,164.64694949255613,176.99330023878312,start,pushups,good
4,172.91914981075968,176.39068104783877,62.17823687690193,59.89633129909488,165.16781544640028,176.85947975247345,start,pushups,good
5,172.91679508972007,175.7152834504724,62.23047489575292,59.64637825186321,164.62419876618137,175.91625757139033,start,pushups,good
6,173.17971635548523,175.88004722329626,62.071483521750686,59.93588104947457,164.78138488568183,176.07596277374648,start,pushups,good
7,173.39384918893575,175.6631544067477,62.00116132997516,59.908923887744535,164.67548389669807,176.41746601000446,start,pushups,good
8,173.76791806329905,174.89002438654023,61.92590988059873,59.70944779905757,164.68470026754215,176.13328460795682,start,pushups,good
9,173.76676260557878,174.73537396247147,62.01167454075371,59.94155719448638,164.84267975129436,176.4242327000436,start,pushups,good
10,173.70563879523982,174.76100682975238,61.90044952988808,59.95179145906683,165.05956524408143,176.91070805720904,start,pushups,good
11,174.01722229479435,174.6691617131925,62.147190768275934,59.95275755188055,165.11547975179283,177.22691390403983,start,pushups,good
12,174.44083508139258,174.48398700437247,62.32991863247836,59.83471573283785,165.33615936292392,177.56997598141723,start,pushups,good
13,174.81608977012954,174.36748828728503,62.6166488650591,59.652451213459216,165.40160417515088,177.88968974573766,start,pushups,good
14,174.9254569053791,174.3172146761098,62.817016189749495,59.5833602388424,165.2866895798478,178.01267831285026,start,pushups,good
15,174.98208840533837,174.41138503891585,63.00448991793863,59.567938049620885,165.15844282654183,178.13945100283507,start,pushups,good
16,175.0394579725774,174.46649484638422,63.1335547213673,59.62058841046565,164.95666731269955,177.97667183763636,start,pushups,good
